TOKEN Nº   1= VAR                                               TIPO_TOKEN= PR_VAR              YYLVAL= -1
TOKEN Nº   2= [                                                 TIPO_TOKEN= COR_ABRE            YYLVAL= -1
TOKEN Nº   3= contador1                                         TIPO_TOKEN= ID                  YYLVAL= 0
TOKEN Nº   4= ,                                                 TIPO_TOKEN= COMA                YYLVAL= -1
TOKEN Nº   5= mensaje1                                          TIPO_TOKEN= ID                  YYLVAL= 1
TOKEN Nº   6= ,                                                 TIPO_TOKEN= COMA                YYLVAL= -1
TOKEN Nº   7= pi1                                               TIPO_TOKEN= ID                  YYLVAL= 2
TOKEN Nº   8= ]                                                 TIPO_TOKEN= COR_CIERRA          YYLVAL= -1
TOKEN Nº   9= :                                                 TIPO_TOKEN= DOS_PUNTOS          YYLVAL= -1
TOKEN Nº  10= [                                                 TIPO_TOKEN= COR_ABRE            YYLVAL= -1
TOKEN Nº  11= int                                               TIPO_TOKEN= PR_INT              YYLVAL= -1
TOKEN Nº  12= ,                                                 TIPO_TOKEN= COMA                YYLVAL= -1
TOKEN Nº  13= string                                            TIPO_TOKEN= PR_STRING           YYLVAL= -1
TOKEN Nº  14= ]                                                 TIPO_TOKEN= COR_CIERRA          YYLVAL= -1
TOKEN Nº  15= [                                                 TIPO_TOKEN= COR_ABRE            YYLVAL= -1
TOKEN Nº  16= contador2                                         TIPO_TOKEN= ID                  YYLVAL= 2
TOKEN Nº  17= ,                                                 TIPO_TOKEN= COMA                YYLVAL= -1
TOKEN Nº  18= mensaje2                                          TIPO_TOKEN= ID                  YYLVAL= 3
TOKEN Nº  19= ,                                                 TIPO_TOKEN= COMA                YYLVAL= -1
TOKEN Nº  20= pi2                                               TIPO_TOKEN= ID                  YYLVAL= 4
TOKEN Nº  21= ]                                                 TIPO_TOKEN= COR_CIERRA          YYLVAL= -1
TOKEN Nº  22= :                                                 TIPO_TOKEN= DOS_PUNTOS          YYLVAL= -1
TOKEN Nº  23= [                                                 TIPO_TOKEN= COR_ABRE            YYLVAL= -1
TOKEN Nº  24= int                                               TIPO_TOKEN= PR_INT              YYLVAL= -1
TOKEN Nº  25= ,                                                 TIPO_TOKEN= COMA                YYLVAL= -1
TOKEN Nº  26= string                                            TIPO_TOKEN= PR_STRING           YYLVAL= -1
TOKEN Nº  27= ,                                                 TIPO_TOKEN= COMA                YYLVAL= -1
TOKEN Nº  28= float                                             TIPO_TOKEN= PR_FLOAT            YYLVAL= -1
TOKEN Nº  29= ,                                                 TIPO_TOKEN= COMA                YYLVAL= -1
TOKEN Nº  30= int                                               TIPO_TOKEN= PR_INT              YYLVAL= -1
TOKEN Nº  31= ]                                                 TIPO_TOKEN= COR_CIERRA          YYLVAL= -1
TOKEN Nº  32= [                                                 TIPO_TOKEN= COR_ABRE            YYLVAL= -1
TOKEN Nº  33= contador3                                         TIPO_TOKEN= ID                  YYLVAL= 5
TOKEN Nº  34= ,                                                 TIPO_TOKEN= COMA                YYLVAL= -1
TOKEN Nº  35= mensaje3                                          TIPO_TOKEN= ID                  YYLVAL= 6
TOKEN Nº  36= ,                                                 TIPO_TOKEN= COMA                YYLVAL= -1
TOKEN Nº  37= pi3                                               TIPO_TOKEN= ID                  YYLVAL= 7
TOKEN Nº  38= ]                                                 TIPO_TOKEN= COR_CIERRA          YYLVAL= -1
TOKEN Nº  39= :                                                 TIPO_TOKEN= DOS_PUNTOS          YYLVAL= -1
TOKEN Nº  40= [                                                 TIPO_TOKEN= COR_ABRE            YYLVAL= -1
TOKEN Nº  41= int                                               TIPO_TOKEN= PR_INT              YYLVAL= -1
TOKEN Nº  42= ,                                                 TIPO_TOKEN= COMA                YYLVAL= -1
TOKEN Nº  43= string                                            TIPO_TOKEN= PR_STRING           YYLVAL= -1
TOKEN Nº  44= ,                                                 TIPO_TOKEN= COMA                YYLVAL= -1
TOKEN Nº  45= float                                             TIPO_TOKEN= PR_FLOAT            YYLVAL= -1
TOKEN Nº  46= ]                                                 TIPO_TOKEN= COR_CIERRA          YYLVAL= -1
TOKEN Nº  47= ENDVAR                                            TIPO_TOKEN= PR_ENDVAR           YYLVAL= -1
TOKEN Nº  48= mensaje1                                          TIPO_TOKEN= ID                  YYLVAL= 1
TOKEN Nº  49= =                                                 TIPO_TOKEN= OP_ASIGNACION       YYLVAL= -1
TOKEN Nº  50= mensaje1                                          TIPO_TOKEN= ID                  YYLVAL= 1
TOKEN Nº  51= ;                                                 TIPO_TOKEN= PUNTO_COMA          YYLVAL= -1
TOKEN Nº  52= mensaje1                                          TIPO_TOKEN= ID                  YYLVAL= 1
TOKEN Nº  53= =                                                 TIPO_TOKEN= OP_ASIGNACION       YYLVAL= -1
TOKEN Nº  54= "hola "                                           TIPO_TOKEN= CTE_STRING          YYLVAL= 8
TOKEN Nº  55= ;                                                 TIPO_TOKEN= PUNTO_COMA          YYLVAL= -1
TOKEN Nº  56= mensaje2                                          TIPO_TOKEN= ID                  YYLVAL= 3
TOKEN Nº  57= =                                                 TIPO_TOKEN= OP_ASIGNACION       YYLVAL= -1
TOKEN Nº  58= "mundo"                                           TIPO_TOKEN= CTE_STRING          YYLVAL= 9
TOKEN Nº  59= ;                                                 TIPO_TOKEN= PUNTO_COMA          YYLVAL= -1
